{'id': 23064,  'building': '126, בניין 1', 'title': '8', 'model': 'C2', 'type': 'דירה', 'price': '604889.00', 'rooms': '3', 'sqm': '80.04', 'level': 1, 'additional': {'exposure': '', 'balcony': 18.98, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23068,  'building': '126, בניין 1', 'title': '12', 'model': 'C2', 'type': 'דירה', 'price': '604889.00', 'rooms': '3', 'sqm': '80.04', 'level': 2, 'additional': {'exposure': '', 'balcony': 18.98, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23072,  'building': '126, בניין 1', 'title': '16', 'model': 'C2', 'type': 'דירה', 'price': '604889.00', 'rooms': '3', 'sqm': '80.04', 'level': 3, 'additional': {'exposure': '', 'balcony': 18.98, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23100,  'building': '225, בניין 4', 'title': '27', 'model': 'A', 'type': 'דירה', 'price': '592809.00', 'rooms': '3', 'sqm': '79.89', 'level': 1, 'additional': {'exposure': '', 'balcony': 13.64, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23101,  'building': '225, בניין 4', 'title': '28', 'model': 'A', 'type': 'דירה', 'price': '593223.00', 'rooms': '3', 'sqm': '79.95', 'level': 1, 'additional': {'exposure': '', 'balcony': 13.64, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23104,  'building': '225, בניין 4', 'title': '31', 'model': 'A', 'type': 'דירה', 'price': '592809.00', 'rooms': '3', 'sqm': '79.89', 'level': 2, 'additional': {'exposure': '', 'balcony': 13.64, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23105,  'building': '225, בניין 4', 'title': '32', 'model': 'A', 'type': 'דירה', 'price': '593223.00', 'rooms': '3', 'sqm': '79.95', 'level': 2, 'additional': {'exposure': '', 'balcony': 13.64, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23108,  'building': '225, בניין 4', 'title': '35', 'model': 'A', 'type': 'דירה', 'price': '592809.00', 'rooms': '3', 'sqm': '79.89', 'level': 3, 'additional': {'exposure': '', 'balcony': 13.64, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23109,  'building': '225, בניין 4', 'title': '36', 'model': 'A', 'type': 'דירה', 'price': '593223.00', 'rooms': '3', 'sqm': '79.95', 'level': 3, 'additional': {'exposure': '', 'balcony': 13.64, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23112,  'building': '225, בניין 4', 'title': '39', 'model': 'A', 'type': 'דירה', 'price': '593720.00', 'rooms': '3', 'sqm': '79.95', 'level': 4, 'additional': {'exposure': '', 'balcony': 13.88, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23133,  'building': '255, בניין 4', 'title': '13', 'model': 'AA', 'type': 'דירה', 'price': '587597.00', 'rooms': '3', 'sqm': '79.74', 'level': 1, 'additional': {'exposure': '', 'balcony': 11.62, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23136,  'building': '255, בניין 4', 'title': '16', 'model': 'AA', 'type': 'דירה', 'price': '587597.00', 'rooms': '3', 'sqm': '79.74', 'level': 2, 'additional': {'exposure': '', 'balcony': 11.62, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23139,  'building': '255, בניין 4', 'title': '19', 'model': 'AA', 'type': 'דירה', 'price': '587597.00', 'rooms': '3', 'sqm': '79.74', 'level': 3, 'additional': {'exposure': '', 'balcony': 11.62, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23163,  'building': '501, בניין 3', 'title': '7', 'model': 'C1', 'type': 'דירה', 'price': '607605.00', 'rooms': '3', 'sqm': '79.96', 'level': 1, 'additional': {'exposure': '', 'balcony': 20.56, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
{'id': 23164,  'building': '501, בניין 3', 'title': '8', 'model': 'C2', 'type': 'דירה', 'price': '604158.00', 'rooms': '3', 'sqm': '79.46', 'level': 1, 'additional': {'exposure': '', 'balcony': 20.56, 'garden': 0, 'freesale': 'no', 'parking': '1'}}
